id,date,store_nbr,item_nbr,unit_sales,onpromotion,year,month,day,dayofweek,dayofyear,week,quarter,time_idx,is_weekend,is_month_start,is_month_end,is_holiday,general_impact,meat_restriction,holiday_impact,family,perishable,family_encoded
32491,2013-01-02,44,265559,207.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,GROCERY I,0,3
32613,2013-01-02,44,364606,244.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,GROCERY I,0,3
32756,2013-01-02,44,502331,163.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,BREAD/BAKERY,1,1
32830,2013-01-02,44,564287,119.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,BREAD/BAKERY,1,1
32877,2013-01-02,44,584028,113.303,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,MEATS,1,4
33243,2013-01-02,44,903285,95.583,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,POULTRY,1,5
33412,2013-01-02,44,1047679,582.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,BEVERAGES,0,0
40760,2013-01-02,51,265559,94.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,GROCERY I,0,3
40864,2013-01-02,51,364606,113.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,GROCERY I,0,3
40980,2013-01-02,51,502331,150.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,BREAD/BAKERY,1,1
41041,2013-01-02,51,564287,43.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,BREAD/BAKERY,1,1
41088,2013-01-02,51,584028,58.424,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,MEATS,1,4
41407,2013-01-02,51,903285,139.752,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,POULTRY,1,5
41541,2013-01-02,51,1047679,22.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,BEVERAGES,0,0
72918,2013-01-03,44,265559,116.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,GROCERY I,0,3
73035,2013-01-03,44,364606,164.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,GROCERY I,0,3
73182,2013-01-03,44,502331,87.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,BREAD/BAKERY,1,1
73254,2013-01-03,44,564287,57.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,BREAD/BAKERY,1,1
73300,2013-01-03,44,584028,116.616,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,MEATS,1,4
73658,2013-01-03,44,903285,19.451,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,POULTRY,1,5
73815,2013-01-03,44,1047679,310.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,BEVERAGES,0,0
80875,2013-01-03,51,265559,53.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,GROCERY I,0,3
80975,2013-01-03,51,364606,69.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,GROCERY I,0,3
81090,2013-01-03,51,502331,71.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,BREAD/BAKERY,1,1
81151,2013-01-03,51,564287,15.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,BREAD/BAKERY,1,1
81196,2013-01-03,51,584028,46.071,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,MEATS,1,4
81510,2013-01-03,51,903285,17.235,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,POULTRY,1,5
81642,2013-01-03,51,1047679,81.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,BEVERAGES,0,0
112768,2013-01-04,44,265559,111.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,GROCERY I,0,3
112894,2013-01-04,44,364606,136.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,GROCERY I,0,3
113036,2013-01-04,44,502331,100.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,BREAD/BAKERY,1,1
113105,2013-01-04,44,564287,56.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,BREAD/BAKERY,1,1
113151,2013-01-04,44,584028,96.535,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,MEATS,1,4
113520,2013-01-04,44,903285,20.085,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,POULTRY,1,5
113679,2013-01-04,44,1047679,338.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,BEVERAGES,0,0
120933,2013-01-04,51,265559,32.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,GROCERY I,0,3
121037,2013-01-04,51,364606,72.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,GROCERY I,0,3
121164,2013-01-04,51,502331,75.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,BREAD/BAKERY,1,1
121232,2013-01-04,51,564287,24.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,BREAD/BAKERY,1,1
121276,2013-01-04,51,584028,45.364,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,MEATS,1,4
121589,2013-01-04,51,903285,1.887,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,POULTRY,1,5
121725,2013-01-04,51,1047679,64.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,BEVERAGES,0,0
154876,2013-01-05,44,265559,200.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,GROCERY I,0,3
154998,2013-01-05,44,364606,192.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,GROCERY I,0,3
155145,2013-01-05,44,502331,137.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,BREAD/BAKERY,1,1
155216,2013-01-05,44,564287,145.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,BREAD/BAKERY,1,1
155262,2013-01-05,44,584028,94.576,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,MEATS,1,4
155635,2013-01-05,44,903285,13.821,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,POULTRY,1,5
155808,2013-01-05,44,1047679,654.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,BEVERAGES,0,0
163391,2013-01-05,51,265559,69.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,GROCERY I,0,3
163499,2013-01-05,51,364606,96.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,GROCERY I,0,3
163627,2013-01-05,51,502331,88.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,BREAD/BAKERY,1,1
163695,2013-01-05,51,564287,25.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,BREAD/BAKERY,1,1
163741,2013-01-05,51,584028,25.556,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,MEATS,1,4
164066,2013-01-05,51,903285,80.52,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,POULTRY,1,5
164204,2013-01-05,51,1047679,102.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,BEVERAGES,0,0
196858,2013-01-06,44,265559,265.0,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,GROCERY I,0,3
196980,2013-01-06,44,364606,241.0,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,GROCERY I,0,3
197120,2013-01-06,44,502331,203.0,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,BREAD/BAKERY,1,1
