id,date,store_nbr,item_nbr,unit_sales,onpromotion,year,month,day,dayofweek,dayofyear,week,quarter,time_idx,is_weekend,is_month_start,is_month_end,is_holiday,general_impact,meat_restriction,holiday_impact,family,perishable,family_encoded,temperature_c,rainfall_mm,windspeed_kmh,cpi_normalized,fuel_normalized
32491,2013-01-02,44,265559,207.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,GROCERY I,0,3,26.0,0.0,15.8,-1.2180307406003954,1.182669844250908
32613,2013-01-02,44,364606,244.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,GROCERY I,0,3,26.0,0.0,15.8,-1.2180307406003954,1.182669844250908
32756,2013-01-02,44,502331,163.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,26.0,0.0,15.8,-1.2180307406003954,1.182669844250908
32830,2013-01-02,44,564287,119.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,26.0,0.0,15.8,-1.2180307406003954,1.182669844250908
32877,2013-01-02,44,584028,113.303,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,MEATS,1,4,26.0,0.0,15.8,-1.2180307406003954,1.182669844250908
33243,2013-01-02,44,903285,95.583,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,POULTRY,1,5,26.0,0.0,15.8,-1.2180307406003954,1.182669844250908
33412,2013-01-02,44,1047679,582.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,BEVERAGES,0,0,26.0,0.0,15.8,-1.2180307406003954,1.182669844250908
40760,2013-01-02,51,265559,94.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,GROCERY I,0,3,26.0,0.0,15.8,-1.2180307406003954,1.182669844250908
40864,2013-01-02,51,364606,113.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,GROCERY I,0,3,26.0,0.0,15.8,-1.2180307406003954,1.182669844250908
40980,2013-01-02,51,502331,150.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,26.0,0.0,15.8,-1.2180307406003954,1.182669844250908
41041,2013-01-02,51,564287,43.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,26.0,0.0,15.8,-1.2180307406003954,1.182669844250908
41088,2013-01-02,51,584028,58.424,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,MEATS,1,4,26.0,0.0,15.8,-1.2180307406003954,1.182669844250908
41407,2013-01-02,51,903285,139.752,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,POULTRY,1,5,26.0,0.0,15.8,-1.2180307406003954,1.182669844250908
41541,2013-01-02,51,1047679,22.0,0,2013,1,2,2,2,1,1,0,0,0,0,0,0,0,0,BEVERAGES,0,0,26.0,0.0,15.8,-1.2180307406003954,1.182669844250908
72918,2013-01-03,44,265559,116.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,GROCERY I,0,3,25.2,9.9,18.1,-1.2180307406003954,1.182669844250908
73035,2013-01-03,44,364606,164.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,GROCERY I,0,3,25.2,9.9,18.1,-1.2180307406003954,1.182669844250908
73182,2013-01-03,44,502331,87.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,25.2,9.9,18.1,-1.2180307406003954,1.182669844250908
73254,2013-01-03,44,564287,57.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,25.2,9.9,18.1,-1.2180307406003954,1.182669844250908
73300,2013-01-03,44,584028,116.616,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,MEATS,1,4,25.2,9.9,18.1,-1.2180307406003954,1.182669844250908
73658,2013-01-03,44,903285,19.451,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,POULTRY,1,5,25.2,9.9,18.1,-1.2180307406003954,1.182669844250908
73815,2013-01-03,44,1047679,310.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,BEVERAGES,0,0,25.2,9.9,18.1,-1.2180307406003954,1.182669844250908
80875,2013-01-03,51,265559,53.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,GROCERY I,0,3,25.0,9.9,18.1,-1.2180307406003954,1.182669844250908
80975,2013-01-03,51,364606,69.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,GROCERY I,0,3,25.0,9.9,18.1,-1.2180307406003954,1.182669844250908
81090,2013-01-03,51,502331,71.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,25.0,9.9,18.1,-1.2180307406003954,1.182669844250908
81151,2013-01-03,51,564287,15.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,25.0,9.9,18.1,-1.2180307406003954,1.182669844250908
81196,2013-01-03,51,584028,46.071,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,MEATS,1,4,25.0,9.9,18.1,-1.2180307406003954,1.182669844250908
81510,2013-01-03,51,903285,17.235,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,POULTRY,1,5,25.0,9.9,18.1,-1.2180307406003954,1.182669844250908
81642,2013-01-03,51,1047679,81.0,0,2013,1,3,3,3,1,1,1,0,0,0,0,0,0,0,BEVERAGES,0,0,25.0,9.9,18.1,-1.2180307406003954,1.182669844250908
112768,2013-01-04,44,265559,111.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,GROCERY I,0,3,24.8,10.0,14.1,-1.2180307406003954,1.182669844250908
112894,2013-01-04,44,364606,136.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,GROCERY I,0,3,24.8,10.0,14.1,-1.2180307406003954,1.182669844250908
113036,2013-01-04,44,502331,100.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,24.8,10.0,14.1,-1.2180307406003954,1.182669844250908
113105,2013-01-04,44,564287,56.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,24.8,10.0,14.1,-1.2180307406003954,1.182669844250908
113151,2013-01-04,44,584028,96.535,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,MEATS,1,4,24.8,10.0,14.1,-1.2180307406003954,1.182669844250908
113520,2013-01-04,44,903285,20.085,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,POULTRY,1,5,24.8,10.0,14.1,-1.2180307406003954,1.182669844250908
113679,2013-01-04,44,1047679,338.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,BEVERAGES,0,0,24.8,10.0,14.1,-1.2180307406003954,1.182669844250908
120933,2013-01-04,51,265559,32.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,GROCERY I,0,3,24.6,10.0,14.1,-1.2180307406003954,1.182669844250908
121037,2013-01-04,51,364606,72.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,GROCERY I,0,3,24.6,10.0,14.1,-1.2180307406003954,1.182669844250908
121164,2013-01-04,51,502331,75.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,24.6,10.0,14.1,-1.2180307406003954,1.182669844250908
121232,2013-01-04,51,564287,24.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,24.6,10.0,14.1,-1.2180307406003954,1.182669844250908
121276,2013-01-04,51,584028,45.364,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,MEATS,1,4,24.6,10.0,14.1,-1.2180307406003954,1.182669844250908
121589,2013-01-04,51,903285,1.887,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,POULTRY,1,5,24.6,10.0,14.1,-1.2180307406003954,1.182669844250908
121725,2013-01-04,51,1047679,64.0,0,2013,1,4,4,4,1,1,2,0,0,0,0,0,0,0,BEVERAGES,0,0,24.6,10.0,14.1,-1.2180307406003954,1.182669844250908
154876,2013-01-05,44,265559,200.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,GROCERY I,0,3,25.8,0.0,20.1,-1.2180307406003954,1.182669844250908
154998,2013-01-05,44,364606,192.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,GROCERY I,0,3,25.8,0.0,20.1,-1.2180307406003954,1.182669844250908
155145,2013-01-05,44,502331,137.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,BREAD/BAKERY,1,1,25.8,0.0,20.1,-1.2180307406003954,1.182669844250908
155216,2013-01-05,44,564287,145.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,BREAD/BAKERY,1,1,25.8,0.0,20.1,-1.2180307406003954,1.182669844250908
155262,2013-01-05,44,584028,94.576,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,MEATS,1,4,25.8,0.0,20.1,-1.2180307406003954,1.182669844250908
155635,2013-01-05,44,903285,13.821,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,POULTRY,1,5,25.8,0.0,20.1,-1.2180307406003954,1.182669844250908
155808,2013-01-05,44,1047679,654.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,BEVERAGES,0,0,25.8,0.0,20.1,-1.2180307406003954,1.182669844250908
163391,2013-01-05,51,265559,69.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,GROCERY I,0,3,25.6,0.0,20.1,-1.2180307406003954,1.182669844250908
163499,2013-01-05,51,364606,96.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,GROCERY I,0,3,25.6,0.0,20.1,-1.2180307406003954,1.182669844250908
163627,2013-01-05,51,502331,88.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,BREAD/BAKERY,1,1,25.6,0.0,20.1,-1.2180307406003954,1.182669844250908
163695,2013-01-05,51,564287,25.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,BREAD/BAKERY,1,1,25.6,0.0,20.1,-1.2180307406003954,1.182669844250908
163741,2013-01-05,51,584028,25.556,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,MEATS,1,4,25.6,0.0,20.1,-1.2180307406003954,1.182669844250908
164066,2013-01-05,51,903285,80.52,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,POULTRY,1,5,25.6,0.0,20.1,-1.2180307406003954,1.182669844250908
164204,2013-01-05,51,1047679,102.0,0,2013,1,5,5,5,1,1,3,1,0,0,0,0,0,0,BEVERAGES,0,0,25.6,0.0,20.1,-1.2180307406003954,1.182669844250908
196858,2013-01-06,44,265559,265.0,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,GROCERY I,0,3,26.1,0.0,19.2,-1.2180307406003954,1.182669844250908
196980,2013-01-06,44,364606,241.0,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,GROCERY I,0,3,26.1,0.0,19.2,-1.2180307406003954,1.182669844250908
197120,2013-01-06,44,502331,203.0,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,BREAD/BAKERY,1,1,26.1,0.0,19.2,-1.2180307406003954,1.182669844250908
197191,2013-01-06,44,564287,146.0,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,BREAD/BAKERY,1,1,26.1,0.0,19.2,-1.2180307406003954,1.182669844250908
197238,2013-01-06,44,584028,174.758,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,MEATS,1,4,26.1,0.0,19.2,-1.2180307406003954,1.182669844250908
197606,2013-01-06,44,903285,60.097,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,POULTRY,1,5,26.1,0.0,19.2,-1.2180307406003954,1.182669844250908
197767,2013-01-06,44,1047679,979.0,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,BEVERAGES,0,0,26.1,0.0,19.2,-1.2180307406003954,1.182669844250908
205243,2013-01-06,51,265559,74.0,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,GROCERY I,0,3,26.0,0.0,19.2,-1.2180307406003954,1.182669844250908
205353,2013-01-06,51,364606,94.0,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,GROCERY I,0,3,26.0,0.0,19.2,-1.2180307406003954,1.182669844250908
205487,2013-01-06,51,502331,95.0,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,BREAD/BAKERY,1,1,26.0,0.0,19.2,-1.2180307406003954,1.182669844250908
205551,2013-01-06,51,564287,29.0,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,BREAD/BAKERY,1,1,26.0,0.0,19.2,-1.2180307406003954,1.182669844250908
205596,2013-01-06,51,584028,70.717,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,MEATS,1,4,26.0,0.0,19.2,-1.2180307406003954,1.182669844250908
205921,2013-01-06,51,903285,121.875,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,POULTRY,1,5,26.0,0.0,19.2,-1.2180307406003954,1.182669844250908
206060,2013-01-06,51,1047679,96.0,0,2013,1,6,6,6,1,1,4,1,0,0,0,0,0,0,BEVERAGES,0,0,26.0,0.0,19.2,-1.2180307406003954,1.182669844250908
236733,2013-01-07,44,265559,106.0,0,2013,1,7,0,7,2,1,5,0,0,0,0,0,0,0,GROCERY I,0,3,23.9,94.5,15.8,-1.2180307406003954,1.182669844250908
236851,2013-01-07,44,364606,145.0,0,2013,1,7,0,7,2,1,5,0,0,0,0,0,0,0,GROCERY I,0,3,23.9,94.5,15.8,-1.2180307406003954,1.182669844250908
236990,2013-01-07,44,502331,127.0,0,2013,1,7,0,7,2,1,5,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,23.9,94.5,15.8,-1.2180307406003954,1.182669844250908
237063,2013-01-07,44,564287,71.0,0,2013,1,7,0,7,2,1,5,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,23.9,94.5,15.8,-1.2180307406003954,1.182669844250908
237107,2013-01-07,44,584028,199.152,0,2013,1,7,0,7,2,1,5,0,0,0,0,0,0,0,MEATS,1,4,23.9,94.5,15.8,-1.2180307406003954,1.182669844250908
237615,2013-01-07,44,1047679,541.0,0,2013,1,7,0,7,2,1,5,0,0,0,0,0,0,0,BEVERAGES,0,0,23.9,94.5,15.8,-1.2180307406003954,1.182669844250908
244675,2013-01-07,51,265559,43.0,0,2013,1,7,0,7,2,1,5,0,0,0,0,0,0,0,GROCERY I,0,3,23.8,94.5,15.8,-1.2180307406003954,1.182669844250908
244777,2013-01-07,51,364606,94.0,0,2013,1,7,0,7,2,1,5,0,0,0,0,0,0,0,GROCERY I,0,3,23.8,94.5,15.8,-1.2180307406003954,1.182669844250908
244896,2013-01-07,51,502331,71.0,0,2013,1,7,0,7,2,1,5,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,23.8,94.5,15.8,-1.2180307406003954,1.182669844250908
244949,2013-01-07,51,564287,18.0,0,2013,1,7,0,7,2,1,5,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,23.8,94.5,15.8,-1.2180307406003954,1.182669844250908
244994,2013-01-07,51,584028,36.303,0,2013,1,7,0,7,2,1,5,0,0,0,0,0,0,0,MEATS,1,4,23.8,94.5,15.8,-1.2180307406003954,1.182669844250908
245292,2013-01-07,51,903285,22.367,0,2013,1,7,0,7,2,1,5,0,0,0,0,0,0,0,POULTRY,1,5,23.8,94.5,15.8,-1.2180307406003954,1.182669844250908
245425,2013-01-07,51,1047679,55.0,0,2013,1,7,0,7,2,1,5,0,0,0,0,0,0,0,BEVERAGES,0,0,23.8,94.5,15.8,-1.2180307406003954,1.182669844250908
276001,2013-01-08,44,265559,87.0,0,2013,1,8,1,8,2,1,6,0,0,0,0,0,0,0,GROCERY I,0,3,25.3,4.7,16.3,-1.2180307406003954,1.182669844250908
276120,2013-01-08,44,364606,124.0,0,2013,1,8,1,8,2,1,6,0,0,0,0,0,0,0,GROCERY I,0,3,25.3,4.7,16.3,-1.2180307406003954,1.182669844250908
276260,2013-01-08,44,502331,85.0,0,2013,1,8,1,8,2,1,6,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,25.3,4.7,16.3,-1.2180307406003954,1.182669844250908
276329,2013-01-08,44,564287,60.0,0,2013,1,8,1,8,2,1,6,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,25.3,4.7,16.3,-1.2180307406003954,1.182669844250908
276375,2013-01-08,44,584028,114.616,0,2013,1,8,1,8,2,1,6,0,0,0,0,0,0,0,MEATS,1,4,25.3,4.7,16.3,-1.2180307406003954,1.182669844250908
276721,2013-01-08,44,903285,26.188,0,2013,1,8,1,8,2,1,6,0,0,0,0,0,0,0,POULTRY,1,5,25.3,4.7,16.3,-1.2180307406003954,1.182669844250908
276885,2013-01-08,44,1047679,434.0,0,2013,1,8,1,8,2,1,6,0,0,0,0,0,0,0,BEVERAGES,0,0,25.3,4.7,16.3,-1.2180307406003954,1.182669844250908
283853,2013-01-08,51,265559,17.0,0,2013,1,8,1,8,2,1,6,0,0,0,0,0,0,0,GROCERY I,0,3,25.2,4.7,16.3,-1.2180307406003954,1.182669844250908
283958,2013-01-08,51,364606,66.0,0,2013,1,8,1,8,2,1,6,0,0,0,0,0,0,0,GROCERY I,0,3,25.2,4.7,16.3,-1.2180307406003954,1.182669844250908
284073,2013-01-08,51,502331,52.0,0,2013,1,8,1,8,2,1,6,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,25.2,4.7,16.3,-1.2180307406003954,1.182669844250908
284129,2013-01-08,51,564287,2.0,0,2013,1,8,1,8,2,1,6,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,25.2,4.7,16.3,-1.2180307406003954,1.182669844250908
284170,2013-01-08,51,584028,41.374,0,2013,1,8,1,8,2,1,6,0,0,0,0,0,0,0,MEATS,1,4,25.2,4.7,16.3,-1.2180307406003954,1.182669844250908
284467,2013-01-08,51,903285,64.464,0,2013,1,8,1,8,2,1,6,0,0,0,0,0,0,0,POULTRY,1,5,25.2,4.7,16.3,-1.2180307406003954,1.182669844250908
284599,2013-01-08,51,1047679,63.0,0,2013,1,8,1,8,2,1,6,0,0,0,0,0,0,0,BEVERAGES,0,0,25.2,4.7,16.3,-1.2180307406003954,1.182669844250908
314877,2013-01-09,44,265559,93.0,0,2013,1,9,2,9,2,1,7,0,0,0,0,0,0,0,GROCERY I,0,3,26.0,2.8,17.0,-1.2180307406003954,1.182669844250908
315001,2013-01-09,44,364606,176.0,0,2013,1,9,2,9,2,1,7,0,0,0,0,0,0,0,GROCERY I,0,3,26.0,2.8,17.0,-1.2180307406003954,1.182669844250908
315142,2013-01-09,44,502331,65.0,0,2013,1,9,2,9,2,1,7,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,26.0,2.8,17.0,-1.2180307406003954,1.182669844250908
315211,2013-01-09,44,564287,25.0,0,2013,1,9,2,9,2,1,7,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,26.0,2.8,17.0,-1.2180307406003954,1.182669844250908
315257,2013-01-09,44,584028,105.576,0,2013,1,9,2,9,2,1,7,0,0,0,0,0,0,0,MEATS,1,4,26.0,2.8,17.0,-1.2180307406003954,1.182669844250908
315620,2013-01-09,44,903285,45.185,0,2013,1,9,2,9,2,1,7,0,0,0,0,0,0,0,POULTRY,1,5,26.0,2.8,17.0,-1.2180307406003954,1.182669844250908
315788,2013-01-09,44,1047679,593.0,0,2013,1,9,2,9,2,1,7,0,0,0,0,0,0,0,BEVERAGES,0,0,26.0,2.8,17.0,-1.2180307406003954,1.182669844250908
322840,2013-01-09,51,265559,41.0,0,2013,1,9,2,9,2,1,7,0,0,0,0,0,0,0,GROCERY I,0,3,25.7,2.8,17.0,-1.2180307406003954,1.182669844250908
322946,2013-01-09,51,364606,75.0,0,2013,1,9,2,9,2,1,7,0,0,0,0,0,0,0,GROCERY I,0,3,25.7,2.8,17.0,-1.2180307406003954,1.182669844250908
323068,2013-01-09,51,502331,69.0,0,2013,1,9,2,9,2,1,7,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,25.7,2.8,17.0,-1.2180307406003954,1.182669844250908
323128,2013-01-09,51,564287,33.0,0,2013,1,9,2,9,2,1,7,0,0,0,0,0,0,0,BREAD/BAKERY,1,1,25.7,2.8,17.0,-1.2180307406003954,1.182669844250908
323174,2013-01-09,51,584028,42.869,0,2013,1,9,2,9,2,1,7,0,0,0,0,0,0,0,MEATS,1,4,25.7,2.8,17.0,-1.2180307406003954,1.182669844250908
323494,2013-01-09,51,903285,126.05,0,2013,1,9,2,9,2,1,7,0,0,0,0,0,0,0,POULTRY,1,5,25.7,2.8,17.0,-1.2180307406003954,1.182669844250908
323637,2013-01-09,51,1047679,67.0,0,2013,1,9,2,9,2,1,7,0,0,0,0,0,0,0,BEVERAGES,0,0,25.7,2.8,17.0,-1.2180307406003954,1.182669844250908
353500,2013-01-10,44,265559,58.0,0,2013,1,10,3,10,2,1,8,0,0,0,1,0,0,0,GROCERY I,0,3,26.2,1.3,17.7,-1.2180307406003954,1.182669844250908
353620,2013-01-10,44,364606,132.0,0,2013,1,10,3,10,2,1,8,0,0,0,1,0,0,0,GROCERY I,0,3,26.2,1.3,17.7,-1.2180307406003954,1.182669844250908
353758,2013-01-10,44,502331,52.0,0,2013,1,10,3,10,2,1,8,0,0,0,1,0,0,0,BREAD/BAKERY,1,1,26.2,1.3,17.7,-1.2180307406003954,1.182669844250908
353827,2013-01-10,44,564287,22.0,0,2013,1,10,3,10,2,1,8,0,0,0,1,0,0,0,BREAD/BAKERY,1,1,26.2,1.3,17.7,-1.2180307406003954,1.182669844250908
353872,2013-01-10,44,584028,91.798,0,2013,1,10,3,10,2,1,8,0,0,0,1,0,0,0,MEATS,1,4,26.2,1.3,17.7,-1.2180307406003954,1.182669844250908
354214,2013-01-10,44,903285,37.564,0,2013,1,10,3,10,2,1,8,0,0,0,1,0,0,0,POULTRY,1,5,26.2,1.3,17.7,-1.2180307406003954,1.182669844250908
354374,2013-01-10,44,1047679,700.0,0,2013,1,10,3,10,2,1,8,0,0,0,1,0,0,0,BEVERAGES,0,0,26.2,1.3,17.7,-1.2180307406003954,1.182669844250908
361215,2013-01-10,51,265559,28.0,0,2013,1,10,3,10,2,1,8,0,0,0,1,0,0,0,GROCERY I,0,3,26.0,1.3,17.7,-1.2180307406003954,1.182669844250908
361318,2013-01-10,51,364606,50.0,0,2013,1,10,3,10,2,1,8,0,0,0,1,0,0,0,GROCERY I,0,3,26.0,1.3,17.7,-1.2180307406003954,1.182669844250908
361425,2013-01-10,51,502331,42.0,0,2013,1,10,3,10,2,1,8,0,0,0,1,0,0,0,BREAD/BAKERY,1,1,26.0,1.3,17.7,-1.2180307406003954,1.182669844250908
361486,2013-01-10,51,564287,14.0,0,2013,1,10,3,10,2,1,8,0,0,0,1,0,0,0,BREAD/BAKERY,1,1,26.0,1.3,17.7,-1.2180307406003954,1.182669844250908
361526,2013-01-10,51,584028,37.182,0,2013,1,10,3,10,2,1,8,0,0,0,1,0,0,0,MEATS,1,4,26.0,1.3,17.7,-1.2180307406003954,1.182669844250908
361840,2013-01-10,51,903285,35.429,0,2013,1,10,3,10,2,1,8,0,0,0,1,0,0,0,POULTRY,1,5,26.0,1.3,17.7,-1.2180307406003954,1.182669844250908
361981,2013-01-10,51,1047679,83.0,0,2013,1,10,3,10,2,1,8,0,0,0,1,0,0,0,BEVERAGES,0,0,26.0,1.3,17.7,-1.2180307406003954,1.182669844250908
392400,2013-01-11,44,265559,114.0,0,2013,1,11,4,11,2,1,9,0,0,0,1,0,0,0,GROCERY I,0,3,26.4,0.0,17.7,-1.2180307406003954,1.182669844250908
392521,2013-01-11,44,364606,116.0,0,2013,1,11,4,11,2,1,9,0,0,0,1,0,0,0,GROCERY I,0,3,26.4,0.0,17.7,-1.2180307406003954,1.182669844250908
392666,2013-01-11,44,502331,69.0,0,2013,1,11,4,11,2,1,9,0,0,0,1,0,0,0,BREAD/BAKERY,1,1,26.4,0.0,17.7,-1.2180307406003954,1.182669844250908
392733,2013-01-11,44,564287,29.0,0,2013,1,11,4,11,2,1,9,0,0,0,1,0,0,0,BREAD/BAKERY,1,1,26.4,0.0,17.7,-1.2180307406003954,1.182669844250908
392778,2013-01-11,44,584028,255.071,0,2013,1,11,4,11,2,1,9,0,0,0,1,0,0,0,MEATS,1,4,26.4,0.0,17.7,-1.2180307406003954,1.182669844250908
393138,2013-01-11,44,903285,15.668,0,2013,1,11,4,11,2,1,9,0,0,0,1,0,0,0,POULTRY,1,5,26.4,0.0,17.7,-1.2180307406003954,1.182669844250908
393300,2013-01-11,44,1047679,726.0,0,2013,1,11,4,11,2,1,9,0,0,0,1,0,0,0,BEVERAGES,0,0,26.4,0.0,17.7,-1.2180307406003954,1.182669844250908
400439,2013-01-11,51,265559,39.0,0,2013,1,11,4,11,2,1,9,0,0,0,1,0,0,0,GROCERY I,0,3,26.3,0.0,17.7,-1.2180307406003954,1.182669844250908
400547,2013-01-11,51,364606,58.0,0,2013,1,11,4,11,2,1,9,0,0,0,1,0,0,0,GROCERY I,0,3,26.3,0.0,17.7,-1.2180307406003954,1.182669844250908
