shap_sales_lag_1,shap_sales_lag_2,shap_sales_lag_7,shap_sales_lag_14,shap_sales_lag_28,shap_sales_rolling_mean_7,shap_sales_rolling_mean_28,shap_sales_rolling_std_7,shap_dayofweek,shap_month,shap_quarter,shap_day,shap_is_weekend,shap_is_month_start,shap_is_month_end,shap_onpromotion,shap_holiday_impact,shap_family_encoded,shap_temperature_c,shap_rainfall_mm,shap_windspeed_kmh,shap_cpi_normalized,shap_fuel_normalized,date,store_nbr,item_nbr,actual,prediction,base_value
-4.355696,0.5835702,-13.062772,-5.2083483,-3.097282,-22.252026,-35.829105,0.7224673,15.5544,-0.37306497,0.02575304,-1.9652181,2.875822,-0.0546883,-0.00043544627,-0.553207,0.008924546,-2.8224049,-0.004352612,-0.14390752,-0.017973848,-0.36371887,-0.0063549564,2017-01-29,44,265559,109.0,78.29096,148.63055
9.043502,0.7786371,-17.644304,-7.9670324,-3.3356078,-21.58771,-34.328663,0.39921165,-3.8751287,-0.642257,0.0285776,-2.2941482,-1.2763143,-0.06843102,0.0017813814,-0.5673739,0.00430095,-2.241532,-0.29227507,0.90384257,-0.060874272,9.364751,-0.0041782,2017-01-30,44,265559,21.0,72.969345,148.63055
-8.013151,0.6155009,-19.824823,-10.275216,-2.7075157,-20.812925,-35.231728,0.30809513,-4.9750624,-0.40225247,0.049993277,-2.4236162,-1.2162938,-0.07367986,0.008826932,-0.5475748,-0.0016709694,-2.082444,-0.061728075,-0.23042922,-0.01456088,0.005500962,-0.0041567786,2017-01-31,44,265559,51.0,40.719604,148.63055
-6.028239,0.43278992,-19.287382,-9.412493,-7.0955076,-23.416447,-39.222836,0.45371255,-1.4932711,-0.35075086,0.16337372,12.37373,-0.94310963,1.2727126,0.0004622552,-0.50353515,-0.0039480883,-2.201487,-0.15122136,-0.1881202,-0.45523116,0.6099552,-0.0044016163,2017-02-01,44,265559,44.0,53.179306,148.63055
-6.7935634,0.7757641,-18.58856,-10.283665,-6.6106515,-21.033714,-38.771378,0.6677788,-8.315665,-0.36184806,0.047838986,8.166748,-1.019911,-0.064437814,-0.0011648228,-0.54878956,0.0022753878,-2.0810823,0.29081652,-0.33669475,-1.6727252,0.27914813,-0.008697578,2017-02-02,44,265559,41.0,42.368378,148.63055
-6.704125,0.6917203,-19.291735,-10.369186,-4.573073,-21.420074,-38.166092,0.51060325,-3.231897,-0.36273742,0.04310995,6.885053,-0.9615707,-0.04656128,-0.00081197056,-0.567174,0.0024744542,-2.0194178,0.0034101396,-0.29020247,-1.7126139,-0.5332175,-0.008697578,2017-02-03,44,265559,62.0,46.507732,148.63055
-6.3985806,0.391464,-15.120137,-4.5069437,-4.4671965,-21.040821,-45.18432,0.6872002,6.414699,-0.20338525,0.0389355,3.9325037,3.380645,-0.034190003,-0.00043544627,-0.50572383,0.0034123864,-2.9349616,-0.1337548,-0.117585346,-0.33467177,-0.3538167,-0.0041567786,2017-02-04,44,265559,81.0,62.13878,148.63055
-4.240375,0.5348846,-10.180204,-3.3922067,-5.775164,-20.758429,-38.93658,0.648956,16.681818,-0.19180162,0.043251038,2.7803254,3.1447964,-0.030152293,-0.00043544627,-0.51667607,0.0074224286,-3.150598,-0.050651345,-0.07898091,0.20017256,-1.4110241,-0.0061729588,2017-02-05,44,265559,106.0,83.952774,148.63055
0.01822773,0.48072973,-19.026514,-8.488135,-6.516168,-20.811447,-34.848457,0.3465154,-4.151476,-0.3978692,0.027283527,-0.6778151,-1.3381627,-0.06080281,0.0006402259,-0.5745857,-0.00037144026,-2.11732,-0.025461156,-0.091161504,0.12342406,1.4299479,-0.0043493365,2017-02-06,44,265559,56.0,51.927216,148.63055
-6.5774426,0.5934627,-22.06245,-8.574357,-6.250416,-19.536417,-35.26583,1.7100333,-5.008554,-0.41040406,0.036490873,-0.8165451,-1.1852331,-0.07341474,0.0004622552,-0.46268898,-0.0030233017,-1.9731427,2.2591066,-0.128499,-0.03717387,1.2468904,-0.0041567786,2017-02-07,44,265559,50.0,46.107243,148.63055
