feature,feature_value,shap_value,abs_shap
sales_rolling_mean_28,757.7419285714286,279.34744,279.34744
sales_lag_7,1222.632,241.00931,241.00931
sales_rolling_mean_7,687.2154285714286,223.84875,223.84875
dayofweek,6.0,110.51598,110.51598
sales_lag_14,1176.868,95.51595,95.51595
sales_lag_28,1256.449,33.540585,33.540585
month,2.0,20.995508,20.995508
day,7.0,14.083706,14.083706
family_encoded,6.0,12.28846,12.28846
is_weekend,1.0,10.1113405,10.1113405
quarter,1.0,9.02702,9.02702
sales_rolling_std_7,279.2061491693051,5.509714,5.509714
onpromotion,0.0,-2.5679288,2.5679288
holiday_impact,0.0,0.6365166,0.6365166
is_month_start,0.0,-0.025467493,0.025467493
is_month_end,0.0,0.017250571,0.017250571
