feature,feature_value,shap_value,abs_shap
sales_rolling_mean_28,19.464285714285715,-39.94749,39.94749
sales_rolling_mean_7,21.142857142857142,-31.215317,31.215317
sales_lag_7,19.0,-25.938437,25.938437
dayofweek,3.0,-12.222854,12.222854
sales_lag_14,2.0,-9.52202,9.52202
sales_lag_28,17.0,-7.260307,7.260307
day,28.0,-3.166025,3.166025
family_encoded,1.0,-2.5882926,2.5882926
sales_rolling_std_7,4.775931721614514,1.7941471,1.7941471
is_weekend,0.0,-1.0325801,1.0325801
onpromotion,0.0,-0.77491397,0.77491397
month,4.0,-0.11404094,0.11404094
holiday_impact,0.0,0.09676287,0.09676287
is_month_end,0.0,-0.07836832,0.07836832
is_month_start,0.0,-0.057842217,0.057842217
quarter,2.0,0.01792313,0.01792313
