feature,mean_abs_shap,rank,normalized
sales_rolling_mean_28,54.46661,1,100.0
sales_rolling_mean_7,26.184877,2,48.0751
sales_lag_7,25.63391,3,47.06353
dayofweek,9.558568,4,17.54941
sales_lag_14,9.077864,5,16.666842
sales_lag_28,8.4453745,6,15.5056
sales_lag_1,8.369937,7,15.367097
family_encoded,7.3901825,8,13.56828
onpromotion,3.3367958,9,6.126314
day,3.0204484,10,5.5455046
is_weekend,2.3901176,11,4.3882256
cpi_normalized,2.1217372,12,3.8954825
sales_rolling_std_7,1.446826,13,2.656354
sales_lag_2,0.9510082,14,1.7460389
rainfall_mm,0.882695,15,1.6206168
windspeed_kmh,0.78213185,16,1.4359841
temperature_c,0.6088382,17,1.1178192
month,0.47342724,18,0.8692063
is_month_start,0.13154961,19,0.2415234
quarter,0.11919606,20,0.21884243
holiday_impact,0.034029804,21,0.06247829
fuel_normalized,0.030252023,22,0.055542327
is_month_end,0.009370876,23,0.017204808
