feature,mean_abs_shap,rank,normalized
sales_rolling_mean_28,22.084879,1,100.0
sales_lag_7,16.773825,2,75.95162
sales_rolling_mean_7,16.6977,3,75.60693
sales_lag_14,8.207538,4,37.163605
dayofweek,6.21943,5,28.161484
sales_lag_28,5.58241,6,25.27707
family_encoded,3.5235345,7,15.954511
is_weekend,3.1890862,8,14.440134
day,3.066316,9,13.8842325
cpi_normalized,2.6571312,10,12.03145
sales_rolling_std_7,1.0940129,11,4.953674
onpromotion,1.0035694,12,4.544147
rainfall_mm,0.7004426,13,3.1715937
temperature_c,0.69694877,14,3.1557734
windspeed_kmh,0.5709469,15,2.5852387
month,0.45796046,16,2.0736382
holiday_impact,0.19420892,17,0.8793751
is_month_start,0.15194699,18,0.68801373
quarter,0.07561417,19,0.3423798
is_month_end,0.03888359,20,0.17606431
fuel_normalized,0.019703623,21,0.08921771
