feature,mean_abs_shap,shap_normalized,xgb_gain,xgb_normalized
sales_rolling_mean_28,48.946884,100.0,1618246.5,100.0
sales_rolling_mean_7,36.608307,74.7919,805864.625,49.79863234680254
sales_lag_7,28.716625,58.668953,1075900.875,66.48559876384716
dayofweek,12.301718,25.13279,96967.9453125,5.992161596672695
sales_lag_14,10.51594,21.48439,216281.65625,13.365186098038834
sales_lag_28,8.274386,16.904827,118531.6640625,7.324697693614662
family_encoded,5.8874803,12.028304,200591.359375,12.395599766475627
day,4.334371,8.855254,34266.453125,2.117505159133667
onpromotion,3.8412678,7.8478293,111876.265625,6.9134254654652425
is_weekend,2.7515855,5.6215744,86142.1484375,5.3231784179666075
sales_rolling_std_7,2.6493397,5.412683,29834.9453125,1.8436588809245067
month,1.2468278,2.547308,29570.767578125,1.827333943136908
holiday_impact,0.3568599,0.7290758,19786.978515625,1.222741931814776
quarter,0.18430382,0.37653843,19665.966796875,1.2152639784405528
is_month_end,0.116572596,0.23816141,11269.08203125,0.6963761102681204
is_month_start,0.06812297,0.13917734,16803.12890625,1.0383541015691986
